CompteurTemps	Temps	Cx0	Cy0	
16915	152.226	-0.128249	-3.83254	
16916	152.235	-0.128346	-3.83267	
16917	152.244	-0.128326	-3.8325	
16918	152.253	-0.128326	-3.8325	
16919	152.262	-0.128326	-3.8325	
16920	152.271	-0.128327	-3.8325	
16921	152.28	-0.128228	-3.83241	
16922	152.289	-0.128254	-3.83253	
16923	152.298	-0.128252	-3.83254	
16924	152.307	-0.12825	-3.83254	
16925	152.316	-0.12825	-3.83254	
16926	152.325	-0.128338	-3.83267	
16927	152.334	-0.128325	-3.8325	
16928	152.343	-0.128326	-3.8325	
16929	152.352	-0.128326	-3.8325	
16930	152.361	-0.128327	-3.8325	
16931	152.37	-0.128236	-3.8324	
16932	152.379	-0.128254	-3.83253	
16933	152.388	-0.128251	-3.83254	
16934	152.397	-0.128251	-3.83254	
16935	152.406	-0.12825	-3.83254	
16936	152.415	-0.128343	-3.83267	
16937	152.424	-0.128326	-3.8325	
16938	152.433	-0.128326	-3.8325	
16939	152.442	-0.128326	-3.8325	
16940	152.451	-0.128326	-3.8325	
16941	152.46	-0.128319	-3.83235	
16942	152.469	-0.128254	-3.83253	
16943	152.478	-0.128251	-3.83254	
16944	152.487	-0.128251	-3.83254	
16945	152.496	-0.12825	-3.83254	
16946	152.505	-0.12838	-3.83264	
16947	152.514	-0.128327	-3.83251	
16948	152.523	-0.128326	-3.8325	
16949	152.532	-0.128328	-3.8325	
16950	152.541	-0.128328	-3.8325	
16951	152.55	-0.128269	-3.83239	
16952	152.559	-0.128257	-3.83253	
16953	152.568	-0.128254	-3.83254	
16954	152.577	-0.128253	-3.83255	
16955	152.586	-0.128253	-3.83255	
16956	152.595	-0.128357	-3.83267	
16957	152.604	-0.128329	-3.83251	
16958	152.613	-0.128329	-3.8325	
16959	152.622	-0.12833	-3.8325	
16960	152.631	-0.12833	-3.8325	
16961	152.64	-0.128248	-3.8324	
16962	152.649	-0.128258	-3.83253	
16963	152.658	-0.128256	-3.83254	
16964	152.667	-0.128254	-3.83254	
16965	152.676	-0.128254	-3.83254	
16966	152.685	-0.12835	-3.83266	
16967	152.694	-0.12833	-3.8325	
16968	152.703	-0.128328	-3.83249	
16969	152.712	-0.12833	-3.83249	
16970	152.721	-0.12833	-3.83249	
16971	152.73	-0.128245	-3.8324	
16972	152.739	-0.128257	-3.83252	
16973	152.748	-0.128255	-3.83253	
16974	152.757	-0.128253	-3.83254	
16975	152.766	-0.128252	-3.83254	
16976	152.775	-0.128349	-3.83266	
16977	152.784	-0.128328	-3.8325	
16978	152.793	-0.128328	-3.83249	
16979	152.802	-0.128328	-3.83249	
16980	152.811	-0.128329	-3.83249	
16981	152.82	-0.128243	-3.83239	
16982	152.829	-0.128256	-3.83252	
16983	152.838	-0.128254	-3.83253	
16984	152.847	-0.128252	-3.83253	
16985	152.856	-0.128251	-3.83253	
16986	152.865	-0.128347	-3.83266	
16987	152.874	-0.128327	-3.83249	
16988	152.883	-0.128327	-3.83249	
16989	152.892	-0.128327	-3.83249	
16990	152.901	-0.128327	-3.83249	
16991	152.91	-0.128241	-3.83239	
16992	152.919	-0.128255	-3.83252	
16993	152.928	-0.128252	-3.83253	
16994	152.937	-0.128251	-3.83253	
16995	152.946	-0.12825	-3.83253	
16996	152.955	-0.128337	-3.83267	
16997	152.964	-0.128324	-3.83249	
16998	152.973	-0.128325	-3.83248	
16999	152.982	-0.128326	-3.83249	
17000	152.991	-0.128326	-3.83249	
17001	153	-0.128185	-3.83266	
17002	153.009	-0.12824	-3.83252	
17003	153.018	-0.128239	-3.83252	
17004	153.027	-0.128239	-3.83253	
17005	153.036	-0.128238	-3.83253	
17006	153.045	-0.128311	-3.83276	
17007	153.054	-0.128309	-3.83249	
17008	153.063	-0.12831	-3.83248	
17009	153.072	-0.128311	-3.83248	
17010	153.081	-0.128311	-3.83248	
17011	153.09	-0.12822	-3.83243	
17012	153.099	-0.128238	-3.83251	
17013	153.108	-0.128235	-3.83252	
17014	153.117	-0.128234	-3.83252	
17015	153.126	-0.128234	-3.83252	
17016	153.135	-0.12833	-3.83267	
17017	153.144	-0.12831	-3.83248	
17018	153.153	-0.128309	-3.83248	
17019	153.162	-0.12831	-3.83248	
17020	153.171	-0.128311	-3.83248	
17021	153.18	-0.128226	-3.83239	
17022	153.189	-0.128238	-3.83251	
17023	153.198	-0.128236	-3.83252	
17024	153.207	-0.128235	-3.83252	
17025	153.216	-0.128234	-3.83252	
17026	153.225	-0.128331	-3.83265	
17027	153.234	-0.12831	-3.83248	
17028	153.243	-0.12831	-3.83248	
17029	153.252	-0.128311	-3.83248	
17030	153.261	-0.128311	-3.83248	
17031	153.27	-0.128226	-3.83238	
17032	153.279	-0.128239	-3.83251	
17033	153.288	-0.128237	-3.83252	
17034	153.297	-0.128236	-3.83252	
17035	153.306	-0.128235	-3.83252	
17036	153.315	-0.128337	-3.83266	
17037	153.324	-0.128311	-3.83248	
17038	153.333	-0.128311	-3.83247	
17039	153.342	-0.128312	-3.83247	
17040	153.351	-0.128312	-3.83247	
17041	153.36	-0.128231	-3.83238	
17042	153.369	-0.12824	-3.83251	
17043	153.378	-0.128237	-3.83252	
17044	153.387	-0.128237	-3.83252	
17045	153.396	-0.128236	-3.83252	
17046	153.405	-0.128335	-3.83265	
17047	153.414	-0.128312	-3.83248	
17048	153.423	-0.128312	-3.83247	
17049	153.432	-0.128313	-3.83247	
17050	153.441	-0.128313	-3.83247	
17051	153.45	-0.128229	-3.83238	
17052	153.459	-0.128241	-3.8325	
17053	153.468	-0.128238	-3.83251	
17054	153.477	-0.128237	-3.83252	
17055	153.486	-0.128237	-3.83252	
17056	153.495	-0.128335	-3.83264	
17057	153.504	-0.128313	-3.83248	
17058	153.513	-0.128313	-3.83247	
17059	153.522	-0.128314	-3.83247	
17060	153.531	-0.128314	-3.83247	
17061	153.54	-0.128229	-3.83238	
17062	153.549	-0.128241	-3.8325	
17063	153.558	-0.12824	-3.83251	
17064	153.567	-0.128238	-3.83252	
17065	153.576	-0.128237	-3.83252	
17066	153.585	-0.128334	-3.83264	
17067	153.594	-0.128314	-3.83248	
17068	153.603	-0.128313	-3.83247	
17069	153.612	-0.128314	-3.83247	
17070	153.621	-0.128315	-3.83247	
17071	153.63	-0.128228	-3.83238	
17072	153.639	-0.128243	-3.8325	
17073	153.648	-0.12824	-3.83251	
17074	153.657	-0.128239	-3.83251	
17075	153.666	-0.128239	-3.83252	
17076	153.675	-0.128335	-3.83264	
17077	153.684	-0.128314	-3.83248	
17078	153.693	-0.128314	-3.83247	
17079	153.702	-0.128315	-3.83247	
17080	153.711	-0.128315	-3.83247	
17081	153.72	-0.128231	-3.83237	
17082	153.729	-0.128243	-3.8325	
17083	153.738	-0.128241	-3.83251	
17084	153.747	-0.12824	-3.83252	
17085	153.756	-0.128239	-3.83252	
17086	153.765	-0.128336	-3.83264	
17087	153.774	-0.128315	-3.83248	
17088	153.783	-0.128315	-3.83247	
17089	153.792	-0.128316	-3.83247	
17090	153.801	-0.128316	-3.83247	
17091	153.81	-0.128231	-3.83238	
17092	153.819	-0.128244	-3.8325	
17093	153.828	-0.128242	-3.83251	
17094	153.837	-0.128241	-3.83251	
17095	153.846	-0.12824	-3.83251	
17096	153.855	-0.128336	-3.83264	
17097	153.864	-0.128316	-3.83247	
17098	153.873	-0.128316	-3.83247	
17099	153.882	-0.128317	-3.83247	
17100	153.891	-0.128318	-3.83247	
17101	153.9	-0.128231	-3.83237	
17102	153.909	-0.128245	-3.8325	
17103	153.918	-0.128243	-3.83251	
17104	153.927	-0.128241	-3.83251	
17105	153.936	-0.128241	-3.83251	
17106	153.945	-0.128337	-3.83264	
17107	153.954	-0.128317	-3.83247	
17108	153.963	-0.128317	-3.83247	
17109	153.972	-0.128318	-3.83247	
17110	153.981	-0.128318	-3.83247	
17111	153.99	-0.128232	-3.83237	
17112	153.999	-0.128246	-3.8325	
17113	154.008	-0.128244	-3.83251	
17114	154.017	-0.128242	-3.83251	
17115	154.026	-0.128242	-3.83251	
17116	154.035	-0.128338	-3.83264	
17117	154.044	-0.128318	-3.83247	
17118	154.053	-0.128318	-3.83247	
17119	154.062	-0.128319	-3.83247	
17120	154.071	-0.128319	-3.83247	
17121	154.08	-0.128233	-3.83237	
17122	154.089	-0.128247	-3.8325	
17123	154.098	-0.128245	-3.83251	
17124	154.107	-0.128243	-3.83251	
17125	154.116	-0.128243	-3.83251	
17126	154.125	-0.128339	-3.83264	
17127	154.134	-0.128318	-3.83248	
17128	154.143	-0.128319	-3.83247	
17129	154.152	-0.128319	-3.83247	
17130	154.161	-0.12832	-3.83247	
17131	154.17	-0.128235	-3.83237	
17132	154.179	-0.128248	-3.8325	
17133	154.188	-0.128246	-3.83251	
17134	154.197	-0.128244	-3.83251	
17135	154.206	-0.128244	-3.83251	
17136	154.215	-0.12834	-3.83264	
17137	154.224	-0.128319	-3.83247	
17138	154.233	-0.12832	-3.83247	
17139	154.242	-0.12832	-3.83247	
17140	154.251	-0.128321	-3.83247	
17141	154.26	-0.128235	-3.83237	
17142	154.269	-0.128249	-3.8325	
17143	154.278	-0.128246	-3.83251	
17144	154.287	-0.128245	-3.83251	
17145	154.296	-0.128244	-3.83251	
17146	154.305	-0.128341	-3.83264	
17147	154.314	-0.12832	-3.83247	
17148	154.323	-0.128321	-3.83247	
17149	154.332	-0.128321	-3.83247	
17150	154.341	-0.128322	-3.83247	
17151	154.35	-0.128236	-3.83237	
17152	154.359	-0.128249	-3.8325	
17153	154.368	-0.128247	-3.83251	
17154	154.377	-0.128246	-3.83251	
17155	154.386	-0.128246	-3.83251	
17156	154.395	-0.128342	-3.83264	
17157	154.404	-0.128321	-3.83247	
17158	154.413	-0.128321	-3.83247	
17159	154.422	-0.128322	-3.83247	
17160	154.431	-0.128322	-3.83247	
17161	154.44	-0.128237	-3.83237	
17162	154.449	-0.12825	-3.8325	
17163	154.458	-0.128248	-3.83251	
17164	154.467	-0.128247	-3.83251	
17165	154.476	-0.128247	-3.83251	
17166	154.485	-0.128343	-3.83264	
17167	154.494	-0.128322	-3.83248	
17168	154.503	-0.128322	-3.83247	
17169	154.512	-0.128323	-3.83247	
17170	154.521	-0.128323	-3.83247	
17171	154.53	-0.128238	-3.83237	
17172	154.539	-0.128252	-3.8325	
17173	154.548	-0.128249	-3.83251	
17174	154.557	-0.128248	-3.83251	
17175	154.566	-0.128247	-3.83251	
17176	154.575	-0.128343	-3.83264	
17177	154.584	-0.128323	-3.83248	
17178	154.593	-0.128323	-3.83247	
17179	154.602	-0.128324	-3.83247	
17180	154.611	-0.128324	-3.83247	
17181	154.62	-0.128239	-3.83238	
17182	154.629	-0.128252	-3.8325	
17183	154.638	-0.12825	-3.83251	
17184	154.647	-0.128248	-3.83251	
17185	154.656	-0.128248	-3.83251	
17186	154.665	-0.128344	-3.83264	
17187	154.674	-0.128324	-3.83248	
17188	154.683	-0.128324	-3.83247	
17189	154.692	-0.128325	-3.83247	
17190	154.701	-0.128325	-3.83247	
17191	154.71	-0.128266	-3.83237	
17192	154.719	-0.128253	-3.8325	
17193	154.728	-0.128251	-3.83251	
17194	154.737	-0.12825	-3.83251	
17195	154.746	-0.128249	-3.83252	
17196	154.755	-0.128361	-3.83264	
17197	154.764	-0.128325	-3.83248	
17198	154.773	-0.128325	-3.83247	
17199	154.782	-0.128326	-3.83247	
17200	154.791	-0.128327	-3.83247	
17201	154.8	-0.12825	-3.83238	
17202	154.809	-0.128254	-3.8325	
17203	154.818	-0.128252	-3.83251	
17204	154.827	-0.12825	-3.83252	
17205	154.836	-0.12825	-3.83252	
17206	154.845	-0.128351	-3.83265	
17207	154.854	-0.128326	-3.83248	
17208	154.863	-0.128326	-3.83247	
17209	154.872	-0.128327	-3.83247	
17210	154.881	-0.128327	-3.83247	
17211	154.89	-0.128243	-3.83238	
17212	154.899	-0.128256	-3.8325	
17213	154.908	-0.128253	-3.83251	
17214	154.917	-0.128251	-3.83252	
17215	154.926	-0.128251	-3.83252	
17216	154.935	-0.128348	-3.83265	
17217	154.944	-0.128326	-3.83248	
17218	154.953	-0.128327	-3.83247	
17219	154.962	-0.128327	-3.83247	
17220	154.971	-0.128328	-3.83247	
17221	154.98	-0.128242	-3.83238	
17222	154.989	-0.128256	-3.83251	
17223	154.998	-0.128253	-3.83251	
17224	155.007	-0.128252	-3.83252	
17225	155.016	-0.128251	-3.83252	
17226	155.025	-0.128348	-3.83265	
17227	155.034	-0.128327	-3.83248	
17228	155.043	-0.128327	-3.83247	
17229	155.052	-0.128328	-3.83247	
17230	155.061	-0.128329	-3.83247	
17231	155.07	-0.128243	-3.83238	
17232	155.079	-0.128256	-3.83251	
17233	155.088	-0.128254	-3.83252	
17234	155.097	-0.128253	-3.83252	
17235	155.106	-0.128252	-3.83252	
17236	155.115	-0.128348	-3.83264	
17237	155.124	-0.128327	-3.83248	
17238	155.133	-0.128327	-3.83247	
17239	155.142	-0.128329	-3.83247	
17240	155.151	-0.128329	-3.83247	
17241	155.16	-0.128242	-3.83238	
17242	155.169	-0.128257	-3.83251	
17243	155.178	-0.128254	-3.83252	
17244	155.187	-0.128253	-3.83252	
17245	155.196	-0.128253	-3.83252	
17246	155.205	-0.128348	-3.83265	
17247	155.214	-0.128328	-3.83248	
17248	155.223	-0.128328	-3.83248	
17249	155.232	-0.128329	-3.83247	
17250	155.241	-0.12833	-3.83247	
17251	155.25	-0.128244	-3.83238	
17252	155.259	-0.128256	-3.83251	
17253	155.268	-0.128255	-3.83252	
17254	155.277	-0.128253	-3.83252	
17255	155.286	-0.128253	-3.83252	
17256	155.295	-0.128349	-3.83265	
17257	155.304	-0.128329	-3.83248	
17258	155.313	-0.128328	-3.83247	
17259	155.322	-0.12833	-3.83248	
17260	155.331	-0.12833	-3.83248	
17261	155.34	-0.128243	-3.83238	
17262	155.349	-0.128258	-3.83251	
17263	155.358	-0.128255	-3.83252	
17264	155.367	-0.128254	-3.83252	
17265	155.376	-0.128253	-3.83252	
17266	155.385	-0.128349	-3.83265	
17267	155.394	-0.128329	-3.83248	
17268	155.403	-0.128329	-3.83248	
17269	155.412	-0.12833	-3.83248	
17270	155.421	-0.12833	-3.83248	
17271	155.43	-0.128244	-3.83238	
17272	155.439	-0.128258	-3.83251	
17273	155.448	-0.128256	-3.83252	
17274	155.457	-0.128254	-3.83252	
17275	155.466	-0.128254	-3.83252	
17276	155.475	-0.12835	-3.83265	
17277	155.484	-0.128329	-3.83249	
17278	155.493	-0.128329	-3.83248	
17279	155.502	-0.12833	-3.83248	
17280	155.511	-0.128331	-3.83248	
17281	155.52	-0.128244	-3.83238	
17282	155.529	-0.128258	-3.83251	
17283	155.538	-0.128256	-3.83252	
17284	155.547	-0.128254	-3.83252	
17285	155.556	-0.128254	-3.83252	
17286	155.565	-0.12835	-3.83265	
17287	155.574	-0.12833	-3.83248	
17288	155.583	-0.12833	-3.83248	
17289	155.592	-0.128331	-3.83248	
17290	155.601	-0.128331	-3.83248	
17291	155.61	-0.128245	-3.83238	
17292	155.619	-0.128258	-3.83251	
17293	155.628	-0.128256	-3.83252	
17294	155.637	-0.128254	-3.83252	
17295	155.646	-0.128254	-3.83252	
17296	155.655	-0.128351	-3.83265	
17297	155.664	-0.12833	-3.83248	
17298	155.673	-0.128329	-3.83248	
17299	155.682	-0.12833	-3.83248	
17300	155.691	-0.128332	-3.83248	
17301	155.7	-0.128245	-3.83239	
17302	155.709	-0.128258	-3.83251	
17303	155.718	-0.128256	-3.83252	
17304	155.727	-0.128255	-3.83252	
17305	155.736	-0.128254	-3.83252	
17306	155.745	-0.128351	-3.83265	
17307	155.754	-0.12833	-3.83249	
17308	155.763	-0.12833	-3.83248	
17309	155.772	-0.128331	-3.83248	
17310	155.781	-0.128331	-3.83248	
17311	155.79	-0.128246	-3.83238	
17312	155.799	-0.128258	-3.83251	
17313	155.808	-0.128256	-3.83252	
17314	155.817	-0.128255	-3.83252	
17315	155.826	-0.128254	-3.83253	
17316	155.835	-0.128351	-3.83265	
17317	155.844	-0.12833	-3.83249	
17318	155.853	-0.12833	-3.83248	
17319	155.862	-0.128331	-3.83248	
17320	155.871	-0.128331	-3.83248	
17321	155.88	-0.128246	-3.83238	
17322	155.889	-0.128259	-3.83251	
17323	155.898	-0.128256	-3.83252	
17324	155.907	-0.128255	-3.83252	
17325	155.916	-0.128254	-3.83253	
17326	155.925	-0.12835	-3.83265	
17327	155.934	-0.12833	-3.83249	
17328	155.943	-0.12833	-3.83248	
17329	155.952	-0.128331	-3.83248	
17330	155.961	-0.128331	-3.83248	
17331	155.97	-0.128248	-3.83239	
17332	155.979	-0.128259	-3.83251	
17333	155.988	-0.128256	-3.83252	
17334	155.997	-0.128255	-3.83253	
17335	156.006	-0.128254	-3.83253	
17336	156.015	-0.128354	-3.83265	
17337	156.024	-0.12833	-3.83249	
17338	156.033	-0.12833	-3.83248	
17339	156.042	-0.128331	-3.83248	
17340	156.051	-0.128331	-3.83248	
17341	156.06	-0.128248	-3.83239	
17342	156.069	-0.128259	-3.83251	
17343	156.078	-0.128256	-3.83252	
17344	156.087	-0.128255	-3.83253	
17345	156.096	-0.128254	-3.83253	
17346	156.105	-0.128352	-3.83265	
17347	156.114	-0.12833	-3.83249	
17348	156.123	-0.12833	-3.83248	
17349	156.132	-0.128331	-3.83248	
17350	156.141	-0.128331	-3.83248	
17351	156.15	-0.128246	-3.83239	
17352	156.159	-0.128258	-3.83252	
17353	156.168	-0.128256	-3.83252	
17354	156.177	-0.128254	-3.83253	
17355	156.186	-0.128254	-3.83253	
17356	156.195	-0.128351	-3.83265	
17357	156.204	-0.12833	-3.83249	
17358	156.213	-0.128329	-3.83248	
17359	156.222	-0.12833	-3.83248	
17360	156.231	-0.128331	-3.83248	
17361	156.24	-0.128245	-3.83239	
17362	156.249	-0.128259	-3.83252	
17363	156.258	-0.128256	-3.83252	
17364	156.267	-0.128255	-3.83253	
17365	156.276	-0.128254	-3.83253	
17366	156.285	-0.12835	-3.83266	
17367	156.294	-0.12833	-3.83249	
17368	156.303	-0.12833	-3.83248	
17369	156.312	-0.12833	-3.83248	
17370	156.321	-0.12833	-3.83248	
17371	156.33	-0.128245	-3.83239	
17372	156.339	-0.128258	-3.83252	
17373	156.348	-0.128256	-3.83253	
17374	156.357	-0.128254	-3.83253	
17375	156.366	-0.128254	-3.83253	
17376	156.375	-0.12835	-3.83266	
17377	156.384	-0.128329	-3.83249	
17378	156.393	-0.128329	-3.83248	
17379	156.402	-0.12833	-3.83248	
17380	156.411	-0.12833	-3.83248	
17381	156.42	-0.128244	-3.83239	
17382	156.429	-0.128258	-3.83252	
17383	156.438	-0.128255	-3.83253	
17384	156.447	-0.128254	-3.83253	
17385	156.456	-0.128253	-3.83253	
17386	156.465	-0.128349	-3.83266	
17387	156.474	-0.128329	-3.83249	
17388	156.483	-0.128329	-3.83249	
17389	156.492	-0.12833	-3.83249	
17390	156.501	-0.12833	-3.83249	
17391	156.51	-0.128244	-3.83239	
17392	156.519	-0.128257	-3.83252	
17393	156.528	-0.128255	-3.83253	
17394	156.537	-0.128254	-3.83253	
17395	156.546	-0.128253	-3.83253	
17396	156.555	-0.128349	-3.83266	
17397	156.564	-0.128328	-3.83249	
17398	156.573	-0.128328	-3.83249	
17399	156.582	-0.128329	-3.83249	
17400	156.591	-0.128329	-3.83249	
17401	156.6	-0.128243	-3.83239	
17402	156.609	-0.128257	-3.83252	
17403	156.618	-0.128254	-3.83253	
17404	156.627	-0.128253	-3.83253	
17405	156.636	-0.128252	-3.83253	
17406	156.645	-0.128348	-3.83266	
17407	156.654	-0.128328	-3.83249	
17408	156.663	-0.128328	-3.83249	
17409	156.672	-0.128329	-3.83249	
17410	156.681	-0.128329	-3.83249	
17411	156.69	-0.128243	-3.83239	
17412	156.699	-0.128256	-3.83252	
17413	156.708	-0.128254	-3.83253	
17414	156.717	-0.128253	-3.83253	
17415	156.726	-0.128252	-3.83253	
17416	156.735	-0.128348	-3.83266	
17417	156.744	-0.128327	-3.83249	
17418	156.753	-0.128328	-3.83249	
17419	156.762	-0.128328	-3.83249	
17420	156.771	-0.128329	-3.83249	
17421	156.78	-0.128243	-3.83239	
17422	156.789	-0.128256	-3.83252	
17423	156.798	-0.128253	-3.83253	
17424	156.807	-0.128253	-3.83253	
17425	156.816	-0.128252	-3.83253	
17426	156.825	-0.128347	-3.83266	
17427	156.834	-0.128327	-3.83249	
17428	156.843	-0.128327	-3.83249	
17429	156.852	-0.128328	-3.83249	
17430	156.861	-0.128328	-3.83249	
17431	156.87	-0.128243	-3.83239	
17432	156.879	-0.128255	-3.83252	
17433	156.888	-0.128253	-3.83253	
17434	156.897	-0.128251	-3.83253	
17435	156.906	-0.128252	-3.83253	
17436	156.915	-0.128347	-3.83266	
17437	156.924	-0.128326	-3.83249	
17438	156.933	-0.128327	-3.83249	
17439	156.942	-0.128327	-3.83249	
17440	156.951	-0.128327	-3.83249	
17441	156.96	-0.128242	-3.83239	
17442	156.969	-0.128255	-3.83252	
17443	156.978	-0.128252	-3.83253	
17444	156.987	-0.128251	-3.83253	
17445	156.996	-0.12825	-3.83253	
17446	157.005	-0.128346	-3.83266	
17447	157.014	-0.128327	-3.83249	
17448	157.023	-0.128326	-3.83249	
17449	157.032	-0.128327	-3.83249	
17450	157.041	-0.128327	-3.83249	
17451	157.05	-0.128239	-3.8324	
17452	157.059	-0.128254	-3.83252	
17453	157.068	-0.128252	-3.83253	
17454	157.077	-0.12825	-3.83253	
17455	157.086	-0.12825	-3.83253	
17456	157.095	-0.128344	-3.83266	
17457	157.104	-0.128325	-3.83249	
17458	157.113	-0.128325	-3.83249	
17459	157.122	-0.128325	-3.83249	
17460	157.131	-0.128326	-3.83249	
17461	157.14	-0.128239	-3.83239	
17462	157.149	-0.128254	-3.83252	
17463	157.158	-0.128251	-3.83253	
17464	157.167	-0.12825	-3.83253	
17465	157.176	-0.128249	-3.83253	
17466	157.185	-0.128344	-3.83266	
17467	157.194	-0.128324	-3.8325	
17468	157.203	-0.128325	-3.83249	
17469	157.212	-0.128325	-3.83249	
17470	157.221	-0.128326	-3.83249	
17471	157.23	-0.128239	-3.83239	
17472	157.239	-0.128253	-3.83252	
17473	157.248	-0.12825	-3.83253	
17474	157.257	-0.128249	-3.83253	
17475	157.266	-0.128248	-3.83253	
17476	157.275	-0.128344	-3.83266	
17477	157.284	-0.128324	-3.8325	
17478	157.293	-0.128324	-3.83249	
17479	157.302	-0.128325	-3.83249	
17480	157.311	-0.128325	-3.83249	
17481	157.32	-0.128238	-3.83239	
17482	157.329	-0.128252	-3.83252	
17483	157.338	-0.12825	-3.83253	
17484	157.347	-0.128248	-3.83253	
17485	157.356	-0.128248	-3.83253	
17486	157.365	-0.128344	-3.83266	
17487	157.374	-0.128323	-3.8325	
17488	157.383	-0.128323	-3.83249	
17489	157.392	-0.128324	-3.83249	
17490	157.401	-0.128324	-3.83249	
17491	157.41	-0.128238	-3.83239	
17492	157.419	-0.128251	-3.83252	
17493	157.428	-0.128249	-3.83253	
17494	157.437	-0.128248	-3.83253	
17495	157.446	-0.128247	-3.83253	
17496	157.455	-0.128342	-3.83266	
17497	157.464	-0.128323	-3.83249	
17498	157.473	-0.128323	-3.83249	
17499	157.482	-0.128323	-3.83249	
17500	157.491	-0.128323	-3.83249	
17501	157.5	-0.128237	-3.83239	
17502	157.509	-0.128251	-3.83252	
17503	157.518	-0.128248	-3.83253	
17504	157.527	-0.128247	-3.83253	
17505	157.536	-0.128246	-3.83253	
17506	157.545	-0.128342	-3.83266	
17507	157.554	-0.128322	-3.83249	
17508	157.563	-0.128322	-3.83249	
17509	157.572	-0.128322	-3.83249	
17510	157.581	-0.128323	-3.83249	
17511	157.59	-0.128237	-3.83239	
17512	157.599	-0.12825	-3.83252	
17513	157.608	-0.128248	-3.83253	
17514	157.617	-0.128247	-3.83253	
17515	157.626	-0.128245	-3.83253	
17516	157.635	-0.128341	-3.83266	
17517	157.644	-0.128321	-3.83249	
17518	157.653	-0.128321	-3.83249	
17519	157.662	-0.128322	-3.83249	
17520	157.671	-0.128321	-3.83249	
17521	157.68	-0.128236	-3.83239	
17522	157.689	-0.128249	-3.83252	
17523	157.698	-0.128247	-3.83253	
17524	157.707	-0.128246	-3.83253	
17525	157.716	-0.128245	-3.83253	
17526	157.725	-0.128341	-3.83266	
17527	157.734	-0.12832	-3.8325	
17528	157.743	-0.12832	-3.83249	
17529	157.752	-0.128321	-3.83249	
17530	157.761	-0.128322	-3.83249	
17531	157.77	-0.128236	-3.83239	
17532	157.779	-0.128248	-3.83252	
17533	157.788	-0.128247	-3.83253	
17534	157.797	-0.128245	-3.83253	
17535	157.806	-0.128244	-3.83253	
17536	157.815	-0.12834	-3.83266	
17537	157.824	-0.12832	-3.83249	
17538	157.833	-0.12832	-3.83249	
17539	157.842	-0.12832	-3.83249	
17540	157.851	-0.12832	-3.83249	
17541	157.86	-0.128235	-3.83239	
17542	157.869	-0.128248	-3.83252	
17543	157.878	-0.128245	-3.83253	
17544	157.887	-0.128244	-3.83253	
17545	157.896	-0.128243	-3.83253	
17546	157.905	-0.12834	-3.83266	
17547	157.914	-0.128319	-3.8325	
17548	157.923	-0.128319	-3.83249	
17549	157.932	-0.128319	-3.83249	
17550	157.941	-0.12832	-3.83249	
17551	157.95	-0.128234	-3.83239	
17552	157.959	-0.128247	-3.83252	
17553	157.968	-0.128245	-3.83253	
17554	157.977	-0.128243	-3.83253	
17555	157.986	-0.128243	-3.83253	
17556	157.995	-0.128339	-3.83266	
17557	158.004	-0.128318	-3.83249	
17558	158.013	-0.128318	-3.83249	
17559	158.022	-0.128319	-3.83249	
17560	158.031	-0.128319	-3.83249	
17561	158.04	-0.128233	-3.83239	
17562	158.049	-0.128247	-3.83252	
17563	158.058	-0.128244	-3.83253	
17564	158.067	-0.128243	-3.83253	
17565	158.076	-0.128242	-3.83253	
17566	158.085	-0.128338	-3.83266	
17567	158.094	-0.128317	-3.8325	
17568	158.103	-0.128318	-3.83249	
17569	158.112	-0.128318	-3.83249	
17570	158.121	-0.128318	-3.83249	
17571	158.13	-0.128232	-3.83239	
17572	158.139	-0.128246	-3.83252	
17573	158.148	-0.128243	-3.83253	
17574	158.157	-0.128242	-3.83253	
17575	158.166	-0.128241	-3.83253	
17576	158.175	-0.128337	-3.83266	
17577	158.184	-0.128317	-3.83249	
17578	158.193	-0.128316	-3.83249	
17579	158.202	-0.128317	-3.83249	
17580	158.211	-0.128318	-3.83249	
17581	158.22	-0.128231	-3.83239	
17582	158.229	-0.128245	-3.83252	
17583	158.238	-0.128243	-3.83253	
17584	158.247	-0.128241	-3.83253	
17585	158.256	-0.12824	-3.83253	
17586	158.265	-0.128336	-3.83266	
17587	158.274	-0.128316	-3.83249	
17588	158.283	-0.128316	-3.83249	
17589	158.292	-0.128316	-3.83249	
17590	158.301	-0.128317	-3.83249	
17591	158.31	-0.128231	-3.83239	
17592	158.319	-0.128244	-3.83252	
17593	158.328	-0.128242	-3.83253	
17594	158.337	-0.12824	-3.83253	
17595	158.346	-0.128239	-3.83253	
17596	158.355	-0.128336	-3.83266	
17597	158.364	-0.128315	-3.83249	
17598	158.373	-0.128315	-3.83249	
17599	158.382	-0.128316	-3.83249	
17600	158.391	-0.128316	-3.83249	
17601	158.4	-0.12823	-3.83239	
17602	158.409	-0.128243	-3.83252	
17603	158.418	-0.128241	-3.83253	
17604	158.427	-0.12824	-3.83253	
17605	158.436	-0.128239	-3.83253	
17606	158.445	-0.128335	-3.83266	
17607	158.454	-0.128314	-3.83249	
17608	158.463	-0.128315	-3.83249	
17609	158.472	-0.128315	-3.83249	
17610	158.481	-0.128315	-3.83249	
17611	158.49	-0.128229	-3.83239	
17612	158.499	-0.128243	-3.83252	
