CompteurTemps	Temps	Cx0	Cy0	
168	1.503	-1.62696	-1.2907	
169	1.512	-1.63199	-1.29861	
170	1.521	-1.63697	-1.3065	
171	1.53	-1.63469	-1.28455	
172	1.539	-1.64525	-1.32488	
173	1.548	-1.6504	-1.33311	
174	1.557	-1.65532	-1.34108	
175	1.566	-1.6602	-1.34915	
176	1.575	-1.7159	-1.38168	
177	1.584	-1.6714	-1.36761	
178	1.593	-1.67362	-1.37526	
179	1.602	-1.67799	-1.38358	
180	1.611	-1.68256	-1.39194	
181	1.62	-1.6953	-1.39244	
182	1.629	-1.68982	-1.41375	
183	1.638	-1.69418	-1.42247	
184	1.647	-1.69895	-1.43117	
185	1.656	-1.70378	-1.43989	
186	1.665	-1.74422	-1.43972	
187	1.674	-1.71208	-1.45649	
188	1.683	-1.71539	-1.46521	
189	1.692	-1.71981	-1.4742	
190	1.701	-1.72438	-1.4833	
191	1.71	-1.75752	-1.50277	
192	1.719	-1.73435	-1.50203	
193	1.728	-1.73812	-1.51119	
194	1.737	-1.74253	-1.5206	
195	1.746	-1.74697	-1.53002	
196	1.755	-1.80144	-1.55802	
197	1.764	-1.75158	-1.55191	
198	1.773	-1.75548	-1.56053	
199	1.782	-1.76011	-1.56995	
200	1.791	-1.76467	-1.57948	
201	1.8	-1.81709	-1.60671	
202	1.809	-1.77942	-1.59821	
203	1.818	-1.78243	-1.60769	
204	1.827	-1.78617	-1.61719	
205	1.836	-1.79002	-1.62663	
206	1.845	-1.80506	-1.66502	
207	1.854	-1.79136	-1.64976	
208	1.863	-1.79531	-1.65888	
209	1.872	-1.79947	-1.66849	
210	1.881	-1.80357	-1.6781	
211	1.89	-1.8542	-1.70377	
212	1.899	-1.8115	-1.69741	
213	1.908	-1.81431	-1.70639	
214	1.917	-1.81793	-1.71609	
215	1.926	-1.82156	-1.7259	
216	1.935	-1.86773	-1.72795	
217	1.944	-1.82726	-1.74608	
218	1.953	-1.83001	-1.75589	
219	1.962	-1.83344	-1.7659	
220	1.971	-1.83691	-1.77594	
221	1.98	-1.87179	-1.77253	
222	1.989	-1.85003	-1.79234	
223	1.998	-1.85137	-1.80288	
224	2.007	-1.85364	-1.81324	
225	2.016	-1.85621	-1.82355	
226	2.025	-1.89964	-1.81138	
227	2.034	-1.86233	-1.84403	
228	2.043	-1.86305	-1.85503	
229	2.052	-1.86527	-1.86541	
230	2.061	-1.86781	-1.87568	
231	2.07	-1.8968	-1.89613	
232	2.079	-1.86456	-1.89883	
233	2.088	-1.86654	-1.90886	
234	2.097	-1.86932	-1.9192	
235	2.106	-1.87218	-1.92957	
236	2.115	-1.90097	-1.90655	
237	2.124	-1.87296	-1.95257	
238	2.133	-1.87545	-1.96326	
239	2.142	-1.87843	-1.9737	
240	2.151	-1.88127	-1.98417	
241	2.16	-1.9187	-1.96439	
242	2.169	-1.88588	-2.00535	
243	2.178	-1.88749	-2.01609	
244	2.187	-1.88972	-2.02646	
245	2.196	-1.892	-2.03679	
246	2.205	-1.92776	-2.03286	
247	2.214	-1.89612	-2.05701	
248	2.223	-1.89769	-2.06733	
249	2.232	-1.89967	-2.07755	
250	2.241	-1.90165	-2.08777	
251	2.25	-1.94171	-2.07417	
252	2.259	-1.90477	-2.10829	
253	2.268	-1.90579	-2.11878	
254	2.277	-1.9074	-2.12914	
255	2.286	-1.90905	-2.13945	
256	2.295	-1.92294	-2.10713	
257	2.304	-1.91521	-2.15756	
258	2.313	-1.91598	-2.16859	
259	2.322	-1.917	-2.17904	
260	2.331	-1.91808	-2.18949	
261	2.34	-1.9476	-2.19289	
262	2.349	-1.91541	-2.21113	
263	2.358	-1.91611	-2.22139	
264	2.367	-1.91731	-2.23166	
265	2.376	-1.91848	-2.24195	
266	2.385	-1.95422	-2.23503	
267	2.394	-1.91946	-2.26203	
268	2.403	-1.91996	-2.27288	
269	2.412	-1.92089	-2.28337	
270	2.421	-1.9218	-2.29377	
271	2.43	-1.98001	-2.27814	
272	2.439	-1.92116	-2.31518	
273	2.448	-1.92101	-2.32608	
274	2.457	-1.92175	-2.33665	
275	2.466	-1.92247	-2.3471	
276	2.475	-1.96279	-2.35316	
277	2.484	-1.92215	-2.36575	
278	2.493	-1.92169	-2.37599	
279	2.502	-1.92188	-2.38623	
280	2.511	-1.92213	-2.39646	
281	2.52	-1.93798	-2.38918	
282	2.529	-1.92081	-2.41581	
283	2.538	-1.92089	-2.42706	
284	2.547	-1.92116	-2.43756	
285	2.556	-1.92136	-2.44781	
286	2.565	-1.93902	-2.4391	
287	2.574	-1.91772	-2.46421	
288	2.583	-1.91751	-2.47463	
289	2.592	-1.91768	-2.48495	
290	2.601	-1.91775	-2.49522	
291	2.61	-1.94462	-2.49309	
292	2.619	-1.91236	-2.50967	
293	2.628	-1.91225	-2.52031	
294	2.637	-1.91232	-2.53079	
295	2.646	-1.91225	-2.54118	
296	2.655	-1.94976	-2.53671	
297	2.664	-1.90991	-2.55834	
298	2.673	-1.90895	-2.56889	
299	2.682	-1.90836	-2.57914	
300	2.691	-1.90771	-2.58927	
301	2.7	-1.91821	-2.57597	
302	2.709	-1.90551	-2.60891	
303	2.718	-1.90446	-2.61917	
304	2.727	-1.90351	-2.62911	
305	2.736	-1.90252	-2.63901	
306	2.745	-1.93178	-2.64128	
307	2.754	-1.8945	-2.65607	
308	2.763	-1.89324	-2.66686	
309	2.772	-1.8923	-2.67751	
310	2.781	-1.89129	-2.68797	
311	2.79	-1.9158	-2.68349	
312	2.799	-1.88712	-2.70812	
313	2.808	-1.88521	-2.71845	
314	2.817	-1.88387	-2.7284	
315	2.826	-1.88253	-2.73826	
316	2.835	-1.90335	-2.75257	
317	2.844	-1.87641	-2.7541	
318	2.853	-1.87478	-2.76427	
319	2.862	-1.8733	-2.77433	
320	2.871	-1.87174	-2.78422	
321	2.88	-1.90654	-2.79761	
322	2.889	-1.86654	-2.79981	
323	2.898	-1.86456	-2.80951	
324	2.907	-1.86274	-2.8192	
325	2.916	-1.86087	-2.8288	
326	2.925	-1.90717	-2.81748	
327	2.934	-1.85737	-2.84632	
328	2.943	-1.85429	-2.85613	
329	2.952	-1.85198	-2.86552	
330	2.961	-1.8497	-2.87482	
331	2.97	-1.8562	-2.86773	
332	2.979	-1.84411	-2.89433	
333	2.988	-1.84131	-2.90317	
334	2.997	-1.83864	-2.91202	
335	3.006	-1.83613	-2.92104	
336	3.015	-1.85572	-2.91731	
337	3.024	-1.82298	-2.93434	
338	3.033	-1.82132	-2.94456	
339	3.042	-1.81935	-2.95414	
340	3.051	-1.81712	-2.96345	
341	3.06	-1.85497	-2.96045	
342	3.069	-1.7985	-2.96896	
343	3.078	-1.79488	-2.97856	
344	3.087	-1.79226	-2.98857	
345	3.096	-1.78952	-2.99846	
346	3.105	-1.83212	-3.01721	
347	3.114	-1.7717	-3.0069	
348	3.123	-1.7692	-3.01812	
349	3.132	-1.76695	-3.029	
350	3.141	-1.76437	-3.03947	
351	3.15	-1.79503	-3.06589	
352	3.159	-1.75323	-3.0515	
353	3.168	-1.75025	-3.06202	
354	3.177	-1.74717	-3.07243	
355	3.186	-1.74397	-3.08258	
356	3.195	-1.76929	-3.10204	
357	3.204	-1.72141	-3.08927	
358	3.213	-1.71792	-3.10037	
359	3.222	-1.71467	-3.11135	
360	3.231	-1.71129	-3.12207	
361	3.24	-1.76353	-3.1305	
362	3.249	-1.70105	-3.1408	
363	3.258	-1.69707	-3.15152	
364	3.267	-1.69387	-3.16214	
365	3.276	-1.69061	-3.17256	
366	3.285	-1.73876	-3.19023	
367	3.294	-1.68423	-3.19019	
368	3.303	-1.68049	-3.20011	
369	3.312	-1.67716	-3.21011	
370	3.321	-1.67379	-3.22002	
371	3.33	-1.71747	-3.22609	
372	3.339	-1.66653	-3.23691	
373	3.348	-1.66286	-3.2467	
374	3.357	-1.65963	-3.25635	
375	3.366	-1.65638	-3.26589	
376	3.375	-1.67936	-3.26905	
377	3.384	-1.64588	-3.27974	
378	3.393	-1.64218	-3.28971	
379	3.402	-1.63894	-3.29946	
380	3.411	-1.63577	-3.30906	
381	3.42	-1.6598	-3.30392	
382	3.429	-1.6283	-3.32427	
383	3.438	-1.62474	-3.33375	
384	3.447	-1.62172	-3.34293	
385	3.456	-1.61869	-3.35204	
386	3.465	-1.626	-3.39499	
387	3.474	-1.61177	-3.36875	
388	3.483	-1.60895	-3.37745	
389	3.492	-1.60566	-3.38649	
390	3.501	-1.60235	-3.39533	
391	3.51	-1.64307	-3.39914	
392	3.519	-1.59446	-3.41085	
393	3.528	-1.59017	-3.41977	
394	3.537	-1.58659	-3.42864	
395	3.546	-1.58318	-3.43743	
396	3.555	-1.61558	-3.42913	
397	3.564	-1.57504	-3.45338	
398	3.573	-1.57128	-3.46217	
399	3.582	-1.56811	-3.4707	
400	3.591	-1.56501	-3.47913	
401	3.6	-1.60583	-3.44273	
402	3.609	-1.56074	-3.49415	
403	3.618	-1.55701	-3.50296	
404	3.627	-1.55375	-3.51101	
405	3.636	-1.55058	-3.51896	
